,Aguascalientes,Campeche,Ciudad de Mexico,Ciudad Victoria,Chetumal,Chihuahua,Chilpancingo,Colima,Cuernavaca,Culiacan,Durango,Guadalajara,Guanajuato,Hermosillo,La Paz,Mexicali,Monterrey,Morelia,Merida,Oaxaca,Pachuca,Puebla,Queretaro,Saltillo,San Luis Potosi­,Tepic,Tlaxcala,Toluca,Tuxtla Gutierrez,Villahermosa,Xalapa,Zacatecas
Pachuca,1612.299538071066,3436.45445177665,231.40451776649746,1694.888162436548,3538.9433604060914,3698.2583604060915,1138.8429796954315,2760.362538071066,565.6022487309644,4882.688294416244,1909.2168223350254,2090.3463756345177,1070.5663553299491,6570.759756345178,11153.089791878172,7945.660573604061,2050.889776649746,1100.313116751269,3709.6962994923856,1403.421604060914,0.0,500.7776649746193,636.6733908629441,1917.713766497462,1007.54369035533,2833.910878172589,519.5389593908629,541.5522893401015,2853.3177411167517,2521.7881269035533,1347.2772131979696,1873.340218274112
Puebla,2112.4431624365484,2949.1654111675125,425.9494111675127,2184.4656700507617,3051.0953197969548,4187.835868020305,949.2693248730964,3249.3810456852793,400.8115837563452,5372.265802030457,2398.7943299492385,2579.9238832487313,1560.1438629441623,7059.778263959391,11642.108299492385,8435.238081218275,2592.949324873097,1589.8906243654824,3221.848258883249,915.5735634517766,500.7776649746193,0.0,1126.2508984771575,2407.291274111675,1497.1211979695431,3322.9293857868024,61.84516751269036,643.8365888324873,2365.4697005076146,2033.9400862944162,867.1123502538071,2362.9177258883246
Queretaro,987.8692639593909,4061.927685279188,669.8615431472081,1018.6292335025381,4163.8575939086295,3021.4404314720814,1405.0238578680203,1799.3304923857868,832.3421269035533,3921.462538071066,1232.3988934010151,1129.3143299492385,436.1289644670051,5608.975,10192.057746192895,6985.1875279187825,1426.5538883248732,747.3904314720812,4334.610532994924,2028.3358375634518,636.6733908629441,1126.2508984771575,0.0,1240.8958375634518,331.2847614213198,1872.8788324873096,1145.012192893401,410.422538071066,3478.231974619289,3146.7023604060914,1972.1914467005076,1238.9028274111677
Saltillo,859.8985177664975,5342.955274111675,1950.901918781726,652.6479187817259,5445.444182741117,2219.29976142132,2686.623233502538,2807.6746903553303,2113.9415025380713,3707.9628527918785,1921.161994923858,2143.2485279187817,1249.2633654822334,5395.475314720812,7845.156827411169,4637.740395939087,128.63761421319796,1706.240263959391,5615.638121827412,3309.93521319797,1917.713766497462,2407.291274111675,1240.8958375634518,0.0,838.0881218274112,4330.905989847715,2426.0397817258886,1692.021913705584,4759.259563451777,4428.288949238578,3253.790822335025,608.8649543147208
San Luis Potosi,439.15344162436554,4432.797984771574,1040.731842639594,615.2625177664975,4535.286893401016,2690.1556700507613,1776.453157360406,1902.5484010152286,1203.7714263959392,4025.4331573604063,901.1141319796955,1233.0912385786803,339.09328934010153,5712.94561928934,8973.668126903553,5108.596304568528,1023.7461725888326,840.8469746192894,4705.48083248731,2399.7651370558374,1007.54369035533,1497.1211979695431,331.2847614213198,838.0881218274112,0.0,1976.6429543147206,1515.882492385787,781.8518375634517,3849.1022741116753,3518.131659898477,2143.1575532994925,325.38690355329953
Tepic,1705.3416142131978,6258.593385786802,2799.658030456853,2663.9874263959396,6361.082294416245,4861.138512690355,3383.1855126903556,1408.787304568528,2809.6814873096446,2051.42452284264,2426.4273908629443,752.7529035532995,1816.6282182741118,3739.495984771574,8321.813233502538,5114.955802030458,3019.430040609137,1817.151538071066,6531.276233502538,4225.573324873097,2833.910878172589,3322.9293857868024,1872.8788324873096,4330.905989847715,1976.6429543147206,0.0,3341.677893401015,2470.596588832487,5675.456675126904,5343.927060913706,3968.9657411167514,1956.3751776649747
Tlaxcala,2131.204456852792,2997.521954314721,457.1633604060914,1609.2086649746193,3100.010862944163,4206.597162436548,1011.6734923857867,3268.1295532994923,462.6439644670051,5391.01430964467,2417.542837563452,2598.113390862944,1578.892370558376,7078.539558375634,11660.8568071066,8453.986588832488,2611.6978324873094,1608.651918781726,3270.204802030457,964.4891065989848,519.5389593908629,61.84516751269036,1145.012192893401,2426.0397817258886,1515.882492385787,3341.677893401015,0.0,675.0505380710661,2413.8262436548225,2082.8556294416244,908.3447157360406,2381.6790203045684
Toluca,1760.8386040609137,3579.513375634518,232.5524263959391,1469.1963096446698,3696.1076700507615,3472.566507614213,783.0490710659898,2396.489248730965,267.1419035532995,4519.374005076142,1683.5249695431476,1727.0320862944163,1208.5265177664976,6206.886467005076,10789.216502538071,7582.34628426396,1825.197923857868,737.011614213198,3852.183436548223,1546.480527918782,541.5522893401015,643.8365888324873,410.422538071066,1692.021913705584,781.8518375634517,2470.596588832487,675.0505380710661,0.0,2995.8048781725893,2664.275263959391,1289.3139441624367,2056.0771675126903
Tuxtla Gutierrez,4464.42423857868,1469.6680000000001,2777.9177005076144,3326.9848223350255,1571.5979086294417,6539.816944162437,3315.298025380711,5601.362121827411,2766.268497461929,7724.246878172589,4750.775406091371,4931.904959390863,3912.6711522842643,9411.759340101524,13994.076588832488,10787.219157360407,4892.435573604062,3941.871700507614,1742.350847715736,1342.9231979695433,2853.3177411167517,2365.4697005076146,3478.231974619289,4759.259563451777,3849.1022741116753,5675.456675126904,2413.8262436548225,2995.8048781725893,0.0,554.4426751269036,2069.7303401015233,4715.457802030457
Villahermosa,4132.894624365482,914.6663248730965,2446.388086294416,2996.0142081218273,1017.1680203045686,6208.2873299492385,2983.768411167513,5265.360507614214,2434.738883248731,7392.717263959391,4419.804791878173,4600.375345177665,3581.141538071066,9080.788725888326,13657.52538071066,10456.248543147209,4560.905959390863,3610.3420862944163,1187.361959390863,2526.6220558375635,2521.7881269035533,2033.9400862944162,3146.7023604060914,4428.288949238578,3518.131659898477,5343.927060913706,2082.8556294416244,2664.275263959391,554.4426751269036,0.0,1738.759725888325,4383.928187817259
Xalapa,2958.3837106598985,2653.4260507614213,1271.889959390863,1378.0299492385789,2755.9149593908633,5034.335416243655,1608.7943045685279,4095.8805939086296,1267.9111472081217,6017.743157360406,3245.293878172589,3225.4012385786805,2406.643411167513,7705.255619289341,12287.572868020305,9080.715436548224,3238.426680203046,2235.3679796954316,2926.1088984771577,1344.1287512690358,1347.2772131979696,867.1123502538071,1972.1914467005076,3253.790822335025,2143.1575532994925,3968.9657411167514,908.3447157360406,1289.3139441624367,2069.7303401015233,1738.759725888325,0.0,3008.954081218274
Zacatecas,250.4873502538071,5298.594512690355,1907.0873705583756,941.208421319797,5401.083421319798,2364.2097664974617,2642.2496852791883,1882.826837563452,2069.5679543147207,2377.320725888325,575.168228426396,1212.8106751269038,901.4374314720812,4065.3921878172587,8647.722223350254,5440.852005076142,790.5436091370558,1403.1911167512692,5586.429959390864,3265.5616649746194,1873.340218274112,2362.9177258883246,1238.9028274111677,608.8649543147208,325.38690355329953,1956.3751776649747,2381.6790203045684,2056.0771675126903,4715.457802030457,4383.928187817259,3008.954081218274,0.0
